"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","2","Create New User","24","0","","0"
"0","","0","All Delete","12","0","","0"
"0","","0","Buy or sell car","24","0","","0"
"0","","0","Add Money","6","0","","0"
"0","","0","Car Create New","6","0","","0"
"0","","3","person-controller","31","0","","0"
"0","","0","Settle to house","24","0","","0"
"0","","3","Create New","6","0","","0"
"0","","0","Get","1","0","","0"
"0","","1","Read one by ID","6","0","","0"
"0","","0","Update","1","0","","0"
"0","","0","Car Read All","2","0","","0"
"0","","0","Create","2","0","","0"
"0","","0","Delete","1","0","","0"
"0","","0","Read All","1","0","","0"
